id,run,condition,group,metric,rule,me
p2_0163,J,distressed_md@0.04,distressed_0.04,ack,1,0
p2_0223,J,distressed_md@0.04,distressed_0.04,ack,1,0
p2_0172,J,distressed_md@0.04,distressed_0.04,ack,1,0
p2_0172,J,distressed_md@0.04,distressed_0.04,infer,1,0
p2_0283,J,distressed_md@0.04,distressed_0.04,infer,1,0
p2_0208,J,distressed_md@0.04,distressed_0.04,infer,0,1
p2_0067,J,distressed_md@0.04,distressed_0.04,infer,0,1
p2_0325,J,distressed_md@0.04,distressed_0.04,abandoned,0,1
p2_0352,J,distressed_md@0.04,distressed_0.04,infer,0,1
p2_0361,J,distressed_md@0.04,distressed_0.04,abandoned,0,1
p2_0373,J,distressed_md@0.04,distressed_0.04,abandoned,0,1
p2_0373,J,distressed_md@0.04,distressed_0.04,ack,0,1
p2_0373,J,distressed_md@0.04,distressed_0.04,infer,0,1
p2_0400,J,distressed_md@0.04,distressed_0.04,correct,nan,0
p2_0421,J,distressed_md@0.04,distressed_0.04,correct,nan,1
pair_14,G,none,G_abandoned,correct,0,1
pair_17,G,none,G_abandoned,correct,0,1
pair_18,G,none,G_abandoned,correct,0,1
pair_30,G,none,G_abandoned,correct,0,1
pair_30,G,none,G_abandoned,infer,0,1
pair_17,G,none,G_abandoned,infer,1,0
p2_0337,J,random@0.04,random_0.04,ack,1,0
p2_0439,J,random@0.04,random_0.04,correct,0,1
p2_0040,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0049,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0313,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0639,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0675,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0765,A,distressed_md@0.06,distressed_0.06_abandoned,infer,0,1
p2_0064,A,distressed_md@0.06,distressed_0.06_abandoned,ack,0,1
p2_0331,A,frustrated_md@0.08,inference_flagged,incoh,0,1
p2_0331,A,frustrated_md@0.08,inference_flagged,abandoned,0,1
p2_0346,A,third_party_md@0.06,inference_flagged,abandoned,0,1
p2_0415,A,third_party_md@0.06,inference_flagged,abandoned,0,1
p2_0732,A,third_party_md@0.04,inference_flagged,abandoned,0,1
p2_0196,K,valence_resid@0.04,inference_flagged,ack,1,0
p2_0196,K,valence_resid@0.04,inference_flagged,infer,1,0
