group,run,id,meta,metric,v1,v2,v3,hand,agree_v1,agree_v2,agree_v3
distressed_0.04,J,p2_0013,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0013,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0013,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0013,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0013,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0016,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0016,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0016,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0016,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0016,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0043,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0043,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0043,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0043,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0043,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0055,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0055,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0055,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0055,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0055,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0061,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0061,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0061,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0061,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0061,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0064,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0064,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0064,"bare, arithmetic, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0064,"bare, arithmetic, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0064,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0067,"bare, arithmetic, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0067,"bare, arithmetic, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0067,"bare, arithmetic, distressed_md @ 0.04",ack,1,1,1,1,1,1,1
distressed_0.04,J,p2_0067,"bare, arithmetic, distressed_md @ 0.04",infer,0,1,1,1,0,1,1
distressed_0.04,J,p2_0067,"bare, arithmetic, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0100,"bare, factual, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0100,"bare, factual, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0100,"bare, factual, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
distressed_0.04,J,p2_0100,"bare, factual, distressed_md @ 0.04",infer,0,0,0,0,1,1,1
distressed_0.04,J,p2_0100,"bare, factual, distressed_md @ 0.04",incoh,0,0,0,0,1,1,1
distressed_0.04,J,p2_0115,"bare, factual, distressed_md @ 0.04",correct,1,1,1,1,1,1,1
distressed_0.04,J,p2_0115,"bare, factual, distressed_md @ 0.04",abandoned,0,0,0,0,1,1,1
distressed_0.04,J,p2_0115,"bare, factual, distressed_md @ 0.04",ack,0,0,0,0,1,1,1
