direction,fraction,n,leak_rate,answered_n,runs
distressed_md,0.0,150,0.073,150,D
distressed_md,0.01,30,0.067,30,I
distressed_md,0.02,60,0.033,60,A
distressed_md,0.03,30,0.133,30,I
distressed_md,0.04,510,0.133,510,ADJN
distressed_md,0.05,30,0.067,30,I
distressed_md,0.06,60,0.017,60,A
distressed_md,0.08,60,0.017,60,A
distressed_md_band16-27,0.04,30,0.2,30,F
distressed_md_band8-19,0.04,30,0.067,30,F
distressed_md_subtract,0.0,150,0.12,150,M
distressed_md_subtract,0.02,60,0.1,60,BL
distressed_md_subtract,0.04,180,0.039,180,BM
distressed_md_subtract,0.06,60,0.0,60,BL
distressed_md_subtract,0.08,30,0.0,30,B
distressed_probe,0.02,60,0.083,60,A
distressed_probe,0.04,60,0.1,60,A
distressed_probe,0.06,60,0.117,60,A
distressed_probe,0.08,60,0.117,60,A
frustrated_md,0.02,60,0.117,60,A
frustrated_md,0.04,60,0.083,60,A
frustrated_md,0.06,60,0.083,60,A
frustrated_md,0.08,60,0.017,60,A
none,0.0,160,0.15,160,ABC
np_minus_bare_md,0.01,30,0.167,30,I
np_minus_bare_md,0.02,30,0.067,30,E
np_minus_bare_md,0.03,30,0.033,30,I
np_minus_bare_md,0.04,30,0.033,30,E
np_minus_bare_md,0.05,30,0.067,30,I
np_minus_bare_md,0.06,30,0.2,30,E
np_minus_bare_md,0.08,30,0.167,30,E
positive_md,0.02,60,0.05,60,A
positive_md,0.04,60,0.033,60,A
positive_md,0.06,60,0.067,60,A
positive_md,0.08,60,0.033,60,A
random,0.01,30,0.033,30,I
random,0.02,60,0.067,60,A
random,0.03,30,0.067,30,I
random,0.04,360,0.064,360,AJN
random,0.05,30,0.067,30,I
random,0.06,60,0.067,60,A
random,0.08,60,0.017,60,A
shared_pc1,0.02,30,0.067,30,K
shared_pc1,0.04,30,0.067,30,K
shared_pc1,0.06,30,0.033,30,K
shared_pc1,0.08,30,0.0,30,K
third_party_md,0.02,60,0.083,60,A
third_party_md,0.04,60,0.033,60,A
third_party_md,0.06,60,0.033,60,A
third_party_md,0.08,60,0.033,60,A
third_party_md_subtract,0.04,40,0.05,40,L
unrelated_coding_probe,0.01,30,0.067,30,I
unrelated_coding_probe,0.02,60,0.05,60,A
unrelated_coding_probe,0.03,30,0.033,30,I
unrelated_coding_probe,0.04,360,0.044,360,AJN
unrelated_coding_probe,0.05,30,0.033,30,I
unrelated_coding_probe,0.06,60,0.0,60,A
unrelated_coding_probe,0.08,60,0.05,60,A
valence_resid,0.02,30,0.1,30,K
valence_resid,0.04,30,0.167,30,K
valence_resid,0.06,30,0.1,30,K
valence_resid,0.08,30,0.0,30,K
