row,id,condition,split,author,judge_agrees,p_distressed
0,p2_0001,neutral,train,claude,1,0.0585
1,p2_0002,distressed,train,claude,1,0.9590
2,p2_0003,frustrated,train,claude,1,0.9992
3,p2_0004,neutral,train,claude,1,0.0163
4,p2_0005,distressed,train,claude,1,0.9994
5,p2_0006,frustrated,train,claude,1,0.9700
6,p2_0007,neutral,val,claude,1,0.0049
7,p2_0008,distressed,val,claude,1,0.9199
8,p2_0009,frustrated,val,claude,1,0.0192
9,p2_0010,neutral,train,claude,1,0.1631
10,p2_0011,distressed,train,claude,0,0.9999
11,p2_0012,frustrated,train,claude,1,0.8561
12,p2_0013,neutral,train,claude,1,0.0325
13,p2_0014,distressed,train,claude,1,0.9990
14,p2_0015,frustrated,train,claude,1,0.9784
15,p2_0016,neutral,train,claude,1,0.0320
16,p2_0017,distressed,train,claude,0,0.9989
17,p2_0018,frustrated,train,claude,1,0.9910
18,p2_0019,neutral,train,claude,1,0.0090
19,p2_0020,distressed,train,claude,0,1.0000
20,p2_0021,frustrated,train,claude,1,0.9572
21,p2_0022,neutral,train,claude,1,0.0045
22,p2_0023,distressed,train,claude,1,0.9999
23,p2_0024,frustrated,train,claude,1,0.9969
24,p2_0025,neutral,train,claude,1,0.1009
25,p2_0026,distressed,train,claude,1,0.9726
26,p2_0027,frustrated,train,claude,1,0.9982
27,p2_0028,neutral,train,claude,1,0.0085
28,p2_0029,distressed,train,claude,1,0.9949
29,p2_0030,frustrated,train,claude,1,0.9997
30,p2_0031,neutral,train,claude,1,0.0066
31,p2_0032,distressed,train,claude,1,0.9971
32,p2_0033,frustrated,train,claude,1,0.9782
33,p2_0034,neutral,train,claude,1,0.1072
34,p2_0035,distressed,train,claude,0,0.9880
35,p2_0036,frustrated,train,claude,1,0.9964
36,p2_0037,neutral,train,claude,1,0.0252
37,p2_0038,distressed,train,claude,1,0.9991
38,p2_0039,frustrated,train,claude,1,0.9710
39,p2_0040,neutral,val,claude,1,0.2159
40,p2_0041,distressed,val,claude,0,0.9983
41,p2_0042,frustrated,val,claude,1,0.9534
42,p2_0043,neutral,train,claude,1,0.0312
43,p2_0044,distressed,train,claude,1,0.9822
44,p2_0045,frustrated,train,claude,1,0.9671
45,p2_0046,neutral,val,claude,1,0.0200
46,p2_0047,distressed,val,claude,1,0.9994
47,p2_0048,frustrated,val,claude,1,0.9918
48,p2_0049,neutral,val,claude,1,0.0129
49,p2_0050,distressed,val,claude,1,0.9858
50,p2_0051,frustrated,val,claude,1,0.9632
51,p2_0052,neutral,train,claude,1,0.0025
52,p2_0053,distressed,train,claude,1,0.9957
53,p2_0054,frustrated,train,claude,1,0.0732
54,p2_0055,neutral,train,claude,1,0.0320
55,p2_0056,distressed,train,claude,1,0.9781
56,p2_0057,frustrated,train,claude,1,0.9772
57,p2_0058,neutral,train,claude,1,0.0669
58,p2_0059,distressed,train,claude,1,0.9934
59,p2_0060,frustrated,train,claude,0,0.8697
60,p2_0061,neutral,train,claude,1,0.0046
61,p2_0062,distressed,train,claude,1,0.9988
62,p2_0063,frustrated,train,claude,1,0.8945
63,p2_0064,neutral,val,claude,1,0.0172
64,p2_0065,distressed,val,claude,1,0.9999
65,p2_0066,frustrated,val,claude,1,0.9666
66,p2_0067,neutral,train,claude,1,0.0249
67,p2_0068,distressed,train,claude,1,0.9983
68,p2_0069,frustrated,train,claude,1,0.9999
69,p2_0070,neutral,train,claude,1,0.1066
70,p2_0071,distressed,train,claude,1,0.9970
71,p2_0072,frustrated,train,claude,1,0.9689
72,p2_0073,neutral,train,claude,1,0.2264
73,p2_0074,distressed,train,claude,0,0.9524
74,p2_0075,frustrated,train,claude,1,0.9990
75,p2_0076,neutral,val,claude,1,0.0013
76,p2_0077,distressed,val,claude,0,0.9890
77,p2_0078,frustrated,val,claude,1,0.9901
78,p2_0079,neutral,train,claude,1,0.0048
79,p2_0080,distressed,train,claude,1,0.9999
80,p2_0081,frustrated,train,claude,1,0.9993
81,p2_0082,neutral,train,claude,1,0.0041
82,p2_0083,distressed,train,claude,1,0.9999
83,p2_0084,frustrated,train,claude,1,0.9994
