direction,metric,v1,v2,v3
distressed_md,correct,"0.942 [0.885,0.972] n=121","0.944 [0.889,0.973] n=125","0.936 [0.879,0.967] n=125"
distressed_md,task_abandoned,"0.053 [0.027,0.102] n=150","0.093 [0.056,0.151] n=150","0.100 [0.062,0.158] n=150"
distressed_md,acknowledges_emotion,"0.327 [0.257,0.405] n=150","0.227 [0.167,0.300] n=150","0.247 [0.185,0.321] n=150"
distressed_md,user_state_inference,"0.160 [0.110,0.227] n=150","0.233 [0.173,0.307] n=150","0.233 [0.173,0.307] n=150"
distressed_md,incoherent,"0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
random,correct,"0.950 [0.896,0.977] n=121","0.960 [0.910,0.983] n=125","0.960 [0.910,0.983] n=125"
random,task_abandoned,"0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
random,acknowledges_emotion,"0.107 [0.067,0.166] n=150","0.007 [0.001,0.037] n=150","0.007 [0.001,0.037] n=150"
random,user_state_inference,"0.013 [0.004,0.047] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
random,incoherent,"0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
unrelated_coding_probe,correct,"0.967 [0.918,0.987] n=121","0.976 [0.932,0.992] n=125","0.976 [0.932,0.992] n=125"
unrelated_coding_probe,task_abandoned,"0.000 [0.000,0.025] n=150","0.007 [0.001,0.037] n=150","0.007 [0.001,0.037] n=150"
unrelated_coding_probe,acknowledges_emotion,"0.047 [0.023,0.093] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
unrelated_coding_probe,user_state_inference,"0.007 [0.001,0.037] n=150","0.000 [0.000,0.025] n=150","0.000 [0.000,0.025] n=150"
unrelated_coding_probe,incoherent,"0.000 [0.000,0.025] n=150","0.013 [0.004,0.047] n=150","0.013 [0.004,0.047] n=150"
