direction,metric,n,rate,ci_lo,ci_hi
distressed_md,correct,125,0.752,0.67,0.819
distressed_md,task_abandoned,150,0.187,0.132,0.257
distressed_md,acknowledges_emotion,150,0.747,0.672,0.81
distressed_md,user_state_inference,150,0.267,0.202,0.343
distressed_md,incoherent,150,0.0,0.0,0.025
random,correct,125,0.88,0.811,0.926
random,task_abandoned,150,0.0,0.0,0.025
random,acknowledges_emotion,150,0.08,0.046,0.135
random,user_state_inference,150,0.013,0.004,0.047
random,incoherent,150,0.0,0.0,0.025
unrelated_coding_probe,correct,125,0.92,0.859,0.956
unrelated_coding_probe,task_abandoned,150,0.013,0.004,0.047
unrelated_coding_probe,acknowledges_emotion,150,0.093,0.056,0.151
unrelated_coding_probe,user_state_inference,150,0.0,0.0,0.025
unrelated_coding_probe,incoherent,150,0.0,0.0,0.025
