pair_id,task_type,correct_answer,n_tokens_neutral,n_tokens_stressed,n_tokens_delta,correct_neutral_rule,correct_neutral_llm,correct_neutral_manual,correct_stressed_rule,correct_stressed_llm,correct_stressed_manual,acknowledges_emotion_rule,acknowledges_emotion_llm,acknowledges_emotion_manual,info_displaced_rule,info_displaced_llm,info_displaced_manual,task_abandoned_rule,task_abandoned_llm,task_abandoned_manual,unsolicited_inference_rule,unsolicited_inference_llm,unsolicited_inference_manual,advice_changed_rule,advice_changed_llm,advice_changed_manual
1,arithmetic,36,138,60,-78,1,,,1,,,1,,,1,,,0,,,0,,,,,
2,arithmetic,73,150,150,0,0,,,0,,,0,,,1,,,0,,,1,,,,,
3,arithmetic,170,147,150,3,1,,,1,,,1,,,1,,,0,,,0,,,,,
4,arithmetic,379.5,150,149,-1,1,,,0,,,1,,,1,,,1,,,1,,,,,
5,arithmetic,104,118,80,-38,1,,,1,,,1,,,1,,,0,,,1,,,,,
6,factual,Lima,88,94,6,1,,,1,,,1,,,1,,,0,,,0,,,,,
7,factual,1945,150,150,0,1,,,1,,,1,,,1,,,0,,,0,,,,,
8,factual,Almonds,82,144,62,1,,,1,,,1,,,1,,,0,,,0,,,,,
9,factual,Jupiter,142,150,8,1,,,1,,,1,,,1,,,0,,,1,,,,,
10,factual,3,94,150,56,1,,,1,,,1,,,0,,,0,,,0,,,,,
11,false_premise,No,150,150,0,1,,,1,,,0,,,1,,,0,,,0,,,,,
12,false_premise,No,150,150,0,1,,,1,,,0,,,1,,,0,,,0,,,,,
13,false_premise,No,150,149,-1,1,,,1,,,1,,,1,,,0,,,0,,,,,
14,false_premise,No,150,150,0,1,,,1,,,1,,,1,,,0,,,1,,,,,
15,false_premise,No,150,149,-1,1,,,1,,,0,,,1,,,0,,,0,,,,,
16,coding,datetime.now(),150,150,0,1,,,1,,,1,,,1,,,0,,,0,,,,,
17,coding,s[::-1],150,150,0,1,,,0,,,1,,,1,,,1,,,1,,,,,
18,coding,[] or list(),150,149,-1,0,,,0,,,1,,,1,,,1,,,1,,,,,
19,coding,for x in lst,150,150,0,1,,,1,,,1,,,1,,,0,,,0,,,,,
20,coding,random.randint,150,150,0,1,,,1,,,1,,,1,,,0,,,0,,,,,
21,advice,,150,150,0,,,,,,,1,,,1,,,0,,,0,,,1,,
22,advice,,150,150,0,,,,,,,1,,,1,,,0,,,1,,,1,,
23,advice,,150,150,0,,,,,,,1,,,1,,,0,,,0,,,1,,
24,advice,,150,150,0,,,,,,,1,,,1,,,0,,,0,,,1,,
25,advice,,150,150,0,,,,,,,1,,,1,,,0,,,1,,,1,,
26,instruction_following,"any three of lion, tiger, leopard, jaguar, cheetah, etc.",150,80,-70,1,,,1,,,1,,,1,,,0,,,1,,,,,
27,instruction_following,1 through 10,30,70,40,1,,,1,,,1,,,0,,,0,,,0,,,,,
28,instruction_following,"a single number, nothing else",5,5,0,1,,,1,,,0,,,0,,,0,,,0,,,,,
29,instruction_following,"Library moved to a larger Harbour Street building in March with more space, a children's room and Sunday hours; membership rose about a third, attributed to hours and location; café due in autumn.",69,47,-22,,,,,,,0,,,0,,,0,,,0,,,,,
30,instruction_following,"x equals minus b plus or minus the square root of b squared minus 4ac, all over 2a",150,150,0,0,,,0,,,1,,,1,,,1,,,0,,,,,
