section,direction_a,direction_b,value
unit_norm,distressed_meandiff,,1.0000
unit_norm,distressed_probe,,1.0000
unit_norm,frustrated_meandiff,,1.0000
unit_norm,positive_meandiff,,1.0000
unit_norm,third_party_meandiff,,1.0000
unit_norm,third_party_neutral_meandiff,,1.0000
unit_norm,neutral_preamble_minus_bare_meandiff,,1.0000
unit_norm,unrelated_coding_probe,,1.0000
unit_norm,distressed_vs_positive_probe,,1.0000
unit_norm,random_seed0,,1.0000
raw_meandiff_norm_layer18,distressed_meandiff,,7.016
raw_meandiff_norm_layer18,frustrated_meandiff,,6.925
raw_meandiff_norm_layer18,positive_meandiff,,5.773
raw_meandiff_norm_layer18,neutral_preamble_minus_bare_meandiff,,8.613
mean_train_residual_norm_layer18,,,45.851
cosine,distressed_meandiff,distressed_probe,0.5175
cosine,distressed_meandiff,frustrated_meandiff,0.8503
cosine,distressed_meandiff,positive_meandiff,0.6267
cosine,distressed_meandiff,third_party_meandiff,0.7354
cosine,distressed_meandiff,third_party_neutral_meandiff,-0.296
cosine,distressed_meandiff,neutral_preamble_minus_bare_meandiff,0.3054
cosine,distressed_meandiff,unrelated_coding_probe,0.0126
cosine,distressed_meandiff,distressed_vs_positive_probe,0.2732
cosine,distressed_meandiff,random_seed0,0.0052
cosine,distressed_probe,frustrated_meandiff,0.4422
cosine,distressed_probe,positive_meandiff,0.2553
cosine,distressed_probe,third_party_meandiff,0.3434
cosine,distressed_probe,third_party_neutral_meandiff,-0.1116
cosine,distressed_probe,neutral_preamble_minus_bare_meandiff,-0.0324
cosine,distressed_probe,unrelated_coding_probe,0.0545
cosine,distressed_probe,distressed_vs_positive_probe,0.392
cosine,distressed_probe,random_seed0,0.0015
cosine,frustrated_meandiff,positive_meandiff,0.5995
cosine,frustrated_meandiff,third_party_meandiff,0.6237
cosine,frustrated_meandiff,third_party_neutral_meandiff,-0.3495
cosine,frustrated_meandiff,neutral_preamble_minus_bare_meandiff,0.2918
cosine,frustrated_meandiff,unrelated_coding_probe,0.0162
cosine,frustrated_meandiff,distressed_vs_positive_probe,0.1938
cosine,frustrated_meandiff,random_seed0,0.0154
cosine,positive_meandiff,third_party_meandiff,0.4167
cosine,positive_meandiff,third_party_neutral_meandiff,-0.4104
cosine,positive_meandiff,neutral_preamble_minus_bare_meandiff,0.3884
cosine,positive_meandiff,unrelated_coding_probe,0.029
cosine,positive_meandiff,distressed_vs_positive_probe,-0.2829
cosine,positive_meandiff,random_seed0,-0.0035
cosine,third_party_meandiff,third_party_neutral_meandiff,0.0139
cosine,third_party_meandiff,neutral_preamble_minus_bare_meandiff,0.1151
cosine,third_party_meandiff,unrelated_coding_probe,0.0042
cosine,third_party_meandiff,distressed_vs_positive_probe,0.2055
cosine,third_party_meandiff,random_seed0,0.0028
cosine,third_party_neutral_meandiff,neutral_preamble_minus_bare_meandiff,-0.259
cosine,third_party_neutral_meandiff,unrelated_coding_probe,-0.0124
cosine,third_party_neutral_meandiff,distressed_vs_positive_probe,0.0272
cosine,third_party_neutral_meandiff,random_seed0,-0.0131
cosine,neutral_preamble_minus_bare_meandiff,unrelated_coding_probe,0.0708
cosine,neutral_preamble_minus_bare_meandiff,distressed_vs_positive_probe,-0.0542
cosine,neutral_preamble_minus_bare_meandiff,random_seed0,0.0059
cosine,unrelated_coding_probe,distressed_vs_positive_probe,0.0164
cosine,unrelated_coding_probe,random_seed0,0.0059
cosine,distressed_vs_positive_probe,random_seed0,0.0135
