group,run,id,metric,v1,v2,hand,agree_v1,agree_v2
distressed_0.04,J,p2_0013,correct,1,1,1,1,1
distressed_0.04,J,p2_0013,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0013,ack,0,0,0,1,1
distressed_0.04,J,p2_0013,infer,0,0,0,1,1
distressed_0.04,J,p2_0013,incoh,0,0,0,1,1
distressed_0.04,J,p2_0016,correct,1,1,1,1,1
distressed_0.04,J,p2_0016,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0016,ack,0,0,0,1,1
distressed_0.04,J,p2_0016,infer,0,0,0,1,1
distressed_0.04,J,p2_0016,incoh,0,0,0,1,1
distressed_0.04,J,p2_0043,correct,1,1,1,1,1
distressed_0.04,J,p2_0043,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0043,ack,0,0,0,1,1
distressed_0.04,J,p2_0043,infer,0,0,0,1,1
distressed_0.04,J,p2_0043,incoh,0,0,0,1,1
distressed_0.04,J,p2_0055,correct,1,1,1,1,1
distressed_0.04,J,p2_0055,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0055,ack,0,0,0,1,1
distressed_0.04,J,p2_0055,infer,0,0,0,1,1
distressed_0.04,J,p2_0055,incoh,0,0,0,1,1
distressed_0.04,J,p2_0061,correct,1,1,1,1,1
distressed_0.04,J,p2_0061,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0061,ack,0,0,0,1,1
distressed_0.04,J,p2_0061,infer,0,0,0,1,1
distressed_0.04,J,p2_0061,incoh,0,0,0,1,1
distressed_0.04,J,p2_0064,correct,1,1,1,1,1
distressed_0.04,J,p2_0064,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0064,ack,0,0,0,1,1
distressed_0.04,J,p2_0064,infer,0,0,0,1,1
distressed_0.04,J,p2_0064,incoh,0,0,0,1,1
distressed_0.04,J,p2_0067,correct,1,1,1,1,1
distressed_0.04,J,p2_0067,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0067,ack,1,1,1,1,1
distressed_0.04,J,p2_0067,infer,0,1,1,0,1
distressed_0.04,J,p2_0067,incoh,0,0,0,1,1
distressed_0.04,J,p2_0100,correct,1,1,1,1,1
distressed_0.04,J,p2_0100,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0100,ack,0,0,0,1,1
distressed_0.04,J,p2_0100,infer,0,0,0,1,1
distressed_0.04,J,p2_0100,incoh,0,0,0,1,1
distressed_0.04,J,p2_0115,correct,1,1,1,1,1
distressed_0.04,J,p2_0115,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0115,ack,0,0,0,1,1
distressed_0.04,J,p2_0115,infer,0,0,0,1,1
distressed_0.04,J,p2_0115,incoh,0,0,0,1,1
distressed_0.04,J,p2_0133,correct,1,1,1,1,1
distressed_0.04,J,p2_0133,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0133,ack,0,0,0,1,1
distressed_0.04,J,p2_0133,infer,0,0,0,1,1
distressed_0.04,J,p2_0133,incoh,0,0,0,1,1
distressed_0.04,J,p2_0163,correct,1,1,1,1,1
distressed_0.04,J,p2_0163,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0163,ack,1,0,0,0,1
distressed_0.04,J,p2_0163,infer,0,0,0,1,1
distressed_0.04,J,p2_0163,incoh,0,0,0,1,1
distressed_0.04,J,p2_0172,correct,1,1,1,1,1
distressed_0.04,J,p2_0172,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0172,ack,1,0,0,0,1
distressed_0.04,J,p2_0172,infer,1,0,0,0,1
distressed_0.04,J,p2_0172,incoh,0,0,0,1,1
distressed_0.04,J,p2_0187,correct,1,1,1,1,1
distressed_0.04,J,p2_0187,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0187,ack,1,1,1,1,1
distressed_0.04,J,p2_0187,infer,0,0,0,1,1
distressed_0.04,J,p2_0187,incoh,0,0,0,1,1
distressed_0.04,J,p2_0208,correct,1,1,1,1,1
distressed_0.04,J,p2_0208,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0208,ack,1,1,1,1,1
distressed_0.04,J,p2_0208,infer,0,1,1,0,1
distressed_0.04,J,p2_0208,incoh,0,0,0,1,1
distressed_0.04,J,p2_0223,correct,1,1,1,1,1
distressed_0.04,J,p2_0223,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0223,ack,1,0,0,0,1
distressed_0.04,J,p2_0223,infer,0,0,0,1,1
distressed_0.04,J,p2_0223,incoh,0,0,0,1,1
distressed_0.04,J,p2_0247,correct,1,1,1,1,1
distressed_0.04,J,p2_0247,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0247,ack,0,0,0,1,1
distressed_0.04,J,p2_0247,infer,0,0,0,1,1
distressed_0.04,J,p2_0247,incoh,0,0,0,1,1
distressed_0.04,J,p2_0259,correct,1,1,1,1,1
distressed_0.04,J,p2_0259,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0259,ack,0,0,0,1,1
distressed_0.04,J,p2_0259,infer,0,0,0,1,1
distressed_0.04,J,p2_0259,incoh,0,0,0,1,1
distressed_0.04,J,p2_0283,correct,1,1,1,1,1
distressed_0.04,J,p2_0283,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0283,ack,0,0,0,1,1
distressed_0.04,J,p2_0283,infer,1,1,0,0,0
distressed_0.04,J,p2_0283,incoh,0,0,0,1,1
distressed_0.04,J,p2_0286,correct,1,1,1,1,1
distressed_0.04,J,p2_0286,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0286,ack,0,0,0,1,1
distressed_0.04,J,p2_0286,infer,0,0,0,1,1
distressed_0.04,J,p2_0286,incoh,0,0,0,1,1
distressed_0.04,J,p2_0319,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0319,ack,1,1,1,1,1
distressed_0.04,J,p2_0319,infer,1,1,1,1,1
distressed_0.04,J,p2_0319,incoh,0,0,0,1,1
distressed_0.04,J,p2_0325,abandoned,0,1,1,0,1
distressed_0.04,J,p2_0325,ack,1,1,1,1,1
distressed_0.04,J,p2_0325,infer,1,1,1,1,1
distressed_0.04,J,p2_0325,incoh,0,0,0,1,1
distressed_0.04,J,p2_0352,abandoned,1,1,1,1,1
distressed_0.04,J,p2_0352,ack,1,1,1,1,1
distressed_0.04,J,p2_0352,infer,0,1,1,0,1
distressed_0.04,J,p2_0352,incoh,0,0,0,1,1
distressed_0.04,J,p2_0355,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0355,ack,0,0,0,1,1
distressed_0.04,J,p2_0355,infer,0,0,0,1,1
distressed_0.04,J,p2_0355,incoh,0,0,0,1,1
distressed_0.04,J,p2_0361,abandoned,0,1,1,0,1
distressed_0.04,J,p2_0361,ack,1,1,1,1,1
distressed_0.04,J,p2_0361,infer,0,0,0,1,1
distressed_0.04,J,p2_0361,incoh,0,0,0,1,1
distressed_0.04,J,p2_0373,abandoned,0,0,1,0,0
distressed_0.04,J,p2_0373,ack,0,0,1,0,0
distressed_0.04,J,p2_0373,infer,0,1,1,0,1
distressed_0.04,J,p2_0373,incoh,0,0,0,1,1
distressed_0.04,J,p2_0388,correct,1,1,1,1,1
distressed_0.04,J,p2_0388,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0388,ack,0,0,0,1,1
distressed_0.04,J,p2_0388,infer,0,0,0,1,1
distressed_0.04,J,p2_0388,incoh,0,0,0,1,1
distressed_0.04,J,p2_0400,correct,nan,0,0,0,1
distressed_0.04,J,p2_0400,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0400,ack,1,0,1,1,0
distressed_0.04,J,p2_0400,infer,0,0,0,1,1
distressed_0.04,J,p2_0400,incoh,0,0,0,1,1
distressed_0.04,J,p2_0406,correct,0,0,0,1,1
distressed_0.04,J,p2_0406,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0406,ack,0,0,0,1,1
distressed_0.04,J,p2_0406,infer,0,0,0,1,1
distressed_0.04,J,p2_0406,incoh,0,0,0,1,1
distressed_0.04,J,p2_0412,correct,0,0,0,1,1
distressed_0.04,J,p2_0412,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0412,ack,0,0,0,1,1
distressed_0.04,J,p2_0412,infer,0,0,0,1,1
distressed_0.04,J,p2_0412,incoh,0,0,0,1,1
distressed_0.04,J,p2_0421,correct,nan,1,1,0,1
distressed_0.04,J,p2_0421,abandoned,0,0,0,1,1
distressed_0.04,J,p2_0421,ack,0,0,0,1,1
distressed_0.04,J,p2_0421,infer,0,0,0,1,1
distressed_0.04,J,p2_0421,incoh,0,0,0,1,1
G_abandoned,G,pair_4,correct,0,0,0,1,1
G_abandoned,G,pair_4,abandoned,1,1,1,1,1
G_abandoned,G,pair_4,ack,1,1,1,1,1
G_abandoned,G,pair_4,infer,1,1,1,1,1
G_abandoned,G,pair_13,correct,0,1,0,1,0
G_abandoned,G,pair_13,abandoned,1,0,1,1,0
G_abandoned,G,pair_13,ack,1,1,1,1,1
G_abandoned,G,pair_13,infer,0,0,0,1,1
G_abandoned,G,pair_14,correct,0,1,1,0,1
G_abandoned,G,pair_14,abandoned,1,0,1,1,0
G_abandoned,G,pair_14,ack,1,1,1,1,1
G_abandoned,G,pair_14,infer,1,1,1,1,1
G_abandoned,G,pair_17,correct,0,0,1,0,0
G_abandoned,G,pair_17,abandoned,1,1,1,1,1
G_abandoned,G,pair_17,ack,1,1,1,1,1
G_abandoned,G,pair_17,infer,1,1,0,0,0
G_abandoned,G,pair_18,correct,0,0,1,0,0
G_abandoned,G,pair_18,abandoned,1,1,1,1,1
G_abandoned,G,pair_18,ack,1,1,1,1,1
G_abandoned,G,pair_18,infer,1,1,1,1,1
G_abandoned,G,pair_30,correct,0,0,1,0,0
G_abandoned,G,pair_30,abandoned,1,1,1,1,1
G_abandoned,G,pair_30,ack,1,1,1,1,1
G_abandoned,G,pair_30,infer,0,0,1,0,0
random_0.04,J,p2_0019,correct,1,1,1,1,1
random_0.04,J,p2_0019,abandoned,0,0,0,1,1
random_0.04,J,p2_0019,ack,0,0,0,1,1
random_0.04,J,p2_0019,infer,0,0,0,1,1
random_0.04,J,p2_0019,incoh,0,0,0,1,1
random_0.04,J,p2_0031,correct,1,1,1,1,1
random_0.04,J,p2_0031,abandoned,0,0,0,1,1
random_0.04,J,p2_0031,ack,0,0,0,1,1
random_0.04,J,p2_0031,infer,0,0,0,1,1
random_0.04,J,p2_0031,incoh,0,0,0,1,1
random_0.04,J,p2_0040,correct,1,1,1,1,1
random_0.04,J,p2_0040,abandoned,0,0,0,1,1
random_0.04,J,p2_0040,ack,0,0,0,1,1
random_0.04,J,p2_0040,infer,0,0,0,1,1
random_0.04,J,p2_0040,incoh,0,0,0,1,1
random_0.04,J,p2_0043,correct,1,1,1,1,1
random_0.04,J,p2_0043,abandoned,0,0,0,1,1
random_0.04,J,p2_0043,ack,0,0,0,1,1
random_0.04,J,p2_0043,infer,0,0,0,1,1
random_0.04,J,p2_0043,incoh,0,0,0,1,1
random_0.04,J,p2_0055,correct,1,1,1,1,1
random_0.04,J,p2_0055,abandoned,0,0,0,1,1
random_0.04,J,p2_0055,ack,0,0,0,1,1
random_0.04,J,p2_0055,infer,0,0,0,1,1
random_0.04,J,p2_0055,incoh,0,0,0,1,1
random_0.04,J,p2_0070,correct,1,1,1,1,1
random_0.04,J,p2_0070,abandoned,0,0,0,1,1
random_0.04,J,p2_0070,ack,0,0,0,1,1
random_0.04,J,p2_0070,infer,0,0,0,1,1
random_0.04,J,p2_0070,incoh,0,0,0,1,1
random_0.04,J,p2_0124,correct,1,1,1,1,1
random_0.04,J,p2_0124,abandoned,0,0,0,1,1
random_0.04,J,p2_0124,ack,0,0,0,1,1
random_0.04,J,p2_0124,infer,0,0,0,1,1
random_0.04,J,p2_0124,incoh,0,0,0,1,1
random_0.04,J,p2_0154,correct,1,1,1,1,1
random_0.04,J,p2_0154,abandoned,0,0,0,1,1
random_0.04,J,p2_0154,ack,0,0,0,1,1
random_0.04,J,p2_0154,infer,0,0,0,1,1
random_0.04,J,p2_0154,incoh,0,0,0,1,1
