row,id,base_task,condition,split,author,judge_agrees
0,p2_0001,What is 23% of 460?,neutral,train,claude,1
1,p2_0002,What is 23% of 460?,distressed,train,claude,1
2,p2_0003,What is 23% of 460?,frustrated,train,claude,1
3,p2_0004,"What is 1,248 divided by 16?",neutral,train,claude,1
4,p2_0005,"What is 1,248 divided by 16?",distressed,train,claude,1
5,p2_0006,"What is 1,248 divided by 16?",frustrated,train,claude,1
6,p2_0007,What is 37 times 19?,neutral,val,claude,1
7,p2_0008,What is 37 times 19?,distressed,val,claude,1
8,p2_0009,What is 37 times 19?,frustrated,val,claude,1
9,p2_0010,Increase 220 by 35%.,neutral,train,claude,1
10,p2_0011,Increase 220 by 35%.,distressed,train,claude,0
11,p2_0012,Increase 220 by 35%.,frustrated,train,claude,1
12,p2_0013,"What is 15% of 1,340?",neutral,train,claude,1
13,p2_0014,"What is 15% of 1,340?",distressed,train,claude,1
14,p2_0015,"What is 15% of 1,340?",frustrated,train,claude,1
15,p2_0016,What is 7/8 as a decimal?,neutral,train,claude,1
16,p2_0017,What is 7/8 as a decimal?,distressed,train,claude,0
17,p2_0018,What is 7/8 as a decimal?,frustrated,train,claude,1
18,p2_0019,"Subtract 388 from 1,000.",neutral,train,claude,1
19,p2_0020,"Subtract 388 from 1,000.",distressed,train,claude,0
20,p2_0021,"Subtract 388 from 1,000.",frustrated,train,claude,1
21,p2_0022,What is 2 to the power of 11?,neutral,train,claude,1
22,p2_0023,What is 2 to the power of 11?,distressed,train,claude,1
23,p2_0024,What is 2 to the power of 11?,frustrated,train,claude,1
24,p2_0025,"What is the average of 12, 19, 25 and 32?",neutral,train,claude,1
25,p2_0026,"What is the average of 12, 19, 25 and 32?",distressed,train,claude,1
26,p2_0027,"What is the average of 12, 19, 25 and 32?",frustrated,train,claude,1
27,p2_0028,Convert 3.5 kilometres to metres.,neutral,train,claude,1
28,p2_0029,Convert 3.5 kilometres to metres.,distressed,train,claude,1
29,p2_0030,Convert 3.5 kilometres to metres.,frustrated,train,claude,1
30,p2_0031,"What is 999 plus 1,347?",neutral,train,claude,1
31,p2_0032,"What is 999 plus 1,347?",distressed,train,claude,1
32,p2_0033,"What is 999 plus 1,347?",frustrated,train,claude,1
33,p2_0034,How many minutes are there in 7.5 hours?,neutral,train,claude,1
34,p2_0035,How many minutes are there in 7.5 hours?,distressed,train,claude,0
35,p2_0036,How many minutes are there in 7.5 hours?,frustrated,train,claude,1
36,p2_0037,What is 40% of 85?,neutral,train,claude,1
37,p2_0038,What is 40% of 85?,distressed,train,claude,1
38,p2_0039,What is 40% of 85?,frustrated,train,claude,1
39,p2_0040,Reduce 180 by 12.5%.,neutral,val,claude,1
