direction,metric,n,rate,ci_lo,ci_hi
distressed_md,correct,125,0.76,0.678,0.826
distressed_md,task_abandoned,150,0.247,0.185,0.321
distressed_md,acknowledges_emotion,150,0.613,0.533,0.688
distressed_md,user_state_inference,150,0.32,0.251,0.398
distressed_md,incoherent,150,0.0,0.0,0.025
random,correct,125,0.888,0.821,0.932
random,task_abandoned,150,0.0,0.0,0.025
random,acknowledges_emotion,150,0.007,0.001,0.037
random,user_state_inference,150,0.0,0.0,0.025
random,incoherent,150,0.0,0.0,0.025
unrelated_coding_probe,correct,125,0.952,0.899,0.978
unrelated_coding_probe,task_abandoned,150,0.013,0.004,0.047
unrelated_coding_probe,acknowledges_emotion,150,0.0,0.0,0.025
unrelated_coding_probe,user_state_inference,150,0.0,0.0,0.025
unrelated_coding_probe,incoherent,150,0.007,0.001,0.037
