direction,task_type,correct,task_abandoned,acknowledges_emotion,user_state_inference,incoherent
distressed_md,advice,,0.28,0.76,0.6,0.0
distressed_md,arithmetic,0.96,0.0,0.12,0.0,0.0
distressed_md,coding,0.92,0.04,0.16,0.16,0.0
distressed_md,factual,1.0,0.0,0.16,0.0,0.0
distressed_md,false_premise,1.0,0.0,0.72,0.2,0.0
distressed_md,instruction_following,0.81,0.0,0.04,0.0,0.0
random,advice,,0.0,0.28,0.04,0.0
random,arithmetic,1.0,0.0,0.0,0.0,0.0
random,coding,1.0,0.0,0.04,0.0,0.0
random,factual,1.0,0.0,0.12,0.0,0.0
random,false_premise,1.0,0.0,0.2,0.04,0.0
random,instruction_following,0.714,0.0,0.0,0.0,0.0
unrelated_coding_probe,advice,,0.0,0.12,0.04,0.0
unrelated_coding_probe,arithmetic,1.0,0.0,0.0,0.0,0.0
unrelated_coding_probe,coding,1.0,0.0,0.0,0.0,0.0
unrelated_coding_probe,factual,1.0,0.0,0.08,0.0,0.0
unrelated_coding_probe,false_premise,1.0,0.0,0.08,0.0,0.0
unrelated_coding_probe,instruction_following,0.81,0.0,0.0,0.0,0.0
