id,condition,split,judge_label,judge_raw
p2_0001,neutral,train,neutral,neutral
p2_0002,distressed,train,distressed,distressed
p2_0003,frustrated,train,frustrated,frustrated
p2_0004,neutral,train,neutral,neutral
p2_0005,distressed,train,distressed,distressed
p2_0006,frustrated,train,frustrated,frustrated
p2_0007,neutral,val,neutral,neutral
p2_0008,distressed,val,distressed,distressed
p2_0009,frustrated,val,frustrated,frustrated
p2_0010,neutral,train,neutral,neutral
p2_0011,distressed,train,neutral,neutral
p2_0012,frustrated,train,frustrated,frustrated
p2_0013,neutral,train,neutral,neutral
p2_0014,distressed,train,distressed,distressed
p2_0015,frustrated,train,frustrated,frustrated
p2_0016,neutral,train,neutral,neutral
p2_0017,distressed,train,neutral,neutral
p2_0018,frustrated,train,frustrated,frustrated
p2_0019,neutral,train,neutral,neutral
p2_0020,distressed,train,neutral,neutral
p2_0021,frustrated,train,frustrated,frustrated
p2_0022,neutral,train,neutral,neutral
p2_0023,distressed,train,distressed,distressed
p2_0024,frustrated,train,frustrated,frustrated
p2_0025,neutral,train,neutral,neutral
p2_0026,distressed,train,distressed,distressed
p2_0027,frustrated,train,frustrated,frustrated
p2_0028,neutral,train,neutral,neutral
p2_0029,distressed,train,distressed,distressed
p2_0030,frustrated,train,frustrated,frustrated
p2_0031,neutral,train,neutral,neutral
p2_0032,distressed,train,distressed,distressed
p2_0033,frustrated,train,frustrated,frustrated
p2_0034,neutral,train,neutral,neutral
p2_0035,distressed,train,neutral,neutral
p2_0036,frustrated,train,frustrated,frustrated
p2_0037,neutral,train,neutral,neutral
p2_0038,distressed,train,distressed,distressed
p2_0039,frustrated,train,frustrated,frustrated
p2_0040,neutral,val,neutral,neutral
p2_0041,distressed,val,neutral,neutral
p2_0042,frustrated,val,frustrated,frustrated
p2_0043,neutral,train,neutral,neutral
p2_0044,distressed,train,distressed,distressed
p2_0045,frustrated,train,frustrated,frustrated
p2_0046,neutral,val,neutral,neutral
p2_0047,distressed,val,distressed,distressed
p2_0048,frustrated,val,frustrated,frustrated
p2_0049,neutral,val,neutral,neutral
p2_0050,distressed,val,distressed,distressed
p2_0051,frustrated,val,frustrated,frustrated
p2_0052,neutral,train,neutral,neutral
p2_0053,distressed,train,distressed,distressed
p2_0054,frustrated,train,frustrated,frustrated
p2_0055,neutral,train,neutral,neutral
p2_0056,distressed,train,distressed,distressed
p2_0057,frustrated,train,frustrated,frustrated
p2_0058,neutral,train,neutral,neutral
p2_0059,distressed,train,distressed,distressed
