direction,metric,n,rate,ci_lo,ci_hi
distressed_md,correct,125,0.944,0.889,0.973
distressed_md,task_abandoned,150,0.093,0.056,0.151
distressed_md,acknowledges_emotion,150,0.227,0.167,0.3
distressed_md,user_state_inference,150,0.233,0.173,0.307
distressed_md,incoherent,150,0.0,0.0,0.025
random,correct,125,0.96,0.91,0.983
random,task_abandoned,150,0.0,0.0,0.025
random,acknowledges_emotion,150,0.007,0.001,0.037
random,user_state_inference,150,0.0,0.0,0.025
random,incoherent,150,0.0,0.0,0.025
unrelated_coding_probe,correct,125,0.976,0.932,0.992
unrelated_coding_probe,task_abandoned,150,0.007,0.001,0.037
unrelated_coding_probe,acknowledges_emotion,150,0.0,0.0,0.025
unrelated_coding_probe,user_state_inference,150,0.0,0.0,0.025
unrelated_coding_probe,incoherent,150,0.013,0.004,0.047
