row,id,condition,split,author,judge_agrees,p_distressed
0,p2_0001,neutral,train,claude,1,0.0002
1,p2_0002,distressed,train,claude,1,0.9987
2,p2_0003,frustrated,train,claude,1,0.9975
3,p2_0004,neutral,train,claude,1,0.0003
4,p2_0005,distressed,train,claude,1,0.9995
5,p2_0006,frustrated,train,claude,1,0.9950
6,p2_0007,neutral,val,claude,1,0.0002
7,p2_0008,distressed,val,claude,1,1.0000
8,p2_0009,frustrated,val,claude,1,0.9951
9,p2_0010,neutral,train,claude,1,0.0098
10,p2_0011,distressed,train,claude,0,1.0000
11,p2_0012,frustrated,train,claude,1,0.9978
12,p2_0013,neutral,train,claude,1,0.0003
13,p2_0014,distressed,train,claude,1,0.9978
14,p2_0015,frustrated,train,claude,1,0.9993
15,p2_0016,neutral,train,claude,1,0.0001
16,p2_0017,distressed,train,claude,0,0.9998
17,p2_0018,frustrated,train,claude,1,0.9997
18,p2_0019,neutral,train,claude,1,0.0004
19,p2_0020,distressed,train,claude,0,1.0000
20,p2_0021,frustrated,train,claude,1,0.9999
21,p2_0022,neutral,train,claude,1,0.0010
22,p2_0023,distressed,train,claude,1,1.0000
23,p2_0024,frustrated,train,claude,1,0.9996
24,p2_0025,neutral,train,claude,1,0.0035
25,p2_0026,distressed,train,claude,1,0.9954
26,p2_0027,frustrated,train,claude,1,0.9646
27,p2_0028,neutral,train,claude,1,0.0009
28,p2_0029,distressed,train,claude,1,0.9999
29,p2_0030,frustrated,train,claude,1,0.9999
30,p2_0031,neutral,train,claude,1,0.0042
31,p2_0032,distressed,train,claude,1,1.0000
32,p2_0033,frustrated,train,claude,1,1.0000
33,p2_0034,neutral,train,claude,1,0.0004
34,p2_0035,distressed,train,claude,0,0.9957
35,p2_0036,frustrated,train,claude,1,0.9991
36,p2_0037,neutral,train,claude,1,0.0002
37,p2_0038,distressed,train,claude,1,0.9999
38,p2_0039,frustrated,train,claude,1,0.9995
39,p2_0040,neutral,val,claude,1,0.0053
40,p2_0041,distressed,val,claude,0,1.0000
41,p2_0042,frustrated,val,claude,1,1.0000
42,p2_0043,neutral,train,claude,1,0.0003
43,p2_0044,distressed,train,claude,1,0.9982
44,p2_0045,frustrated,train,claude,1,0.9840
45,p2_0046,neutral,val,claude,1,0.0003
46,p2_0047,distressed,val,claude,1,1.0000
47,p2_0048,frustrated,val,claude,1,1.0000
48,p2_0049,neutral,val,claude,1,0.0006
49,p2_0050,distressed,val,claude,1,1.0000
50,p2_0051,frustrated,val,claude,1,1.0000
51,p2_0052,neutral,train,claude,1,0.0002
52,p2_0053,distressed,train,claude,1,1.0000
53,p2_0054,frustrated,train,claude,1,0.9999
54,p2_0055,neutral,train,claude,1,0.0002
55,p2_0056,distressed,train,claude,1,0.9967
56,p2_0057,frustrated,train,claude,1,0.9989
57,p2_0058,neutral,train,claude,1,0.0045
58,p2_0059,distressed,train,claude,1,0.9967
59,p2_0060,frustrated,train,claude,0,0.3889
60,p2_0061,neutral,train,claude,1,0.0010
61,p2_0062,distressed,train,claude,1,1.0000
62,p2_0063,frustrated,train,claude,1,0.9995
63,p2_0064,neutral,val,claude,1,0.0004
64,p2_0065,distressed,val,claude,1,1.0000
65,p2_0066,frustrated,val,claude,1,1.0000
66,p2_0067,neutral,train,claude,1,0.0007
67,p2_0068,distressed,train,claude,1,1.0000
68,p2_0069,frustrated,train,claude,1,0.9999
69,p2_0070,neutral,train,claude,1,0.0007
70,p2_0071,distressed,train,claude,1,0.9936
71,p2_0072,frustrated,train,claude,1,0.9902
72,p2_0073,neutral,train,claude,1,0.0010
73,p2_0074,distressed,train,claude,0,0.9935
74,p2_0075,frustrated,train,claude,1,1.0000
75,p2_0076,neutral,val,claude,1,0.0001
76,p2_0077,distressed,val,claude,0,0.9991
77,p2_0078,frustrated,val,claude,1,0.9998
78,p2_0079,neutral,train,claude,1,0.0004
79,p2_0080,distressed,train,claude,1,0.9999
80,p2_0081,frustrated,train,claude,1,0.9993
81,p2_0082,neutral,train,claude,1,0.0002
82,p2_0083,distressed,train,claude,1,0.9986
83,p2_0084,frustrated,train,claude,1,0.9999
84,p2_0085,neutral,train,claude,1,0.0003
85,p2_0086,distressed,train,claude,1,0.9999
86,p2_0087,frustrated,train,claude,1,0.9975
87,p2_0088,neutral,train,claude,1,0.0002
88,p2_0089,distressed,train,claude,1,0.9964
89,p2_0090,frustrated,train,claude,1,0.9999
90,p2_0091,neutral,train,claude,1,0.0015
91,p2_0092,distressed,train,claude,1,0.9993
92,p2_0093,frustrated,train,claude,1,1.0000
93,p2_0094,neutral,val,claude,1,0.0000
94,p2_0095,distressed,val,claude,1,0.9999
95,p2_0096,frustrated,val,claude,1,1.0000
96,p2_0097,neutral,val,claude,1,0.0009
97,p2_0098,distressed,val,claude,1,0.9998
98,p2_0099,frustrated,val,claude,1,0.9999
99,p2_0100,neutral,train,claude,1,0.0007
100,p2_0101,distressed,train,claude,1,0.9999
101,p2_0102,frustrated,train,claude,1,1.0000
102,p2_0103,neutral,val,claude,1,0.0063
103,p2_0104,distressed,val,claude,1,0.9998
104,p2_0105,frustrated,val,claude,1,0.9992
105,p2_0106,neutral,train,claude,1,0.0006
106,p2_0107,distressed,train,claude,1,1.0000
107,p2_0108,frustrated,train,claude,1,0.9812
108,p2_0109,neutral,train,claude,1,0.0009
109,p2_0110,distressed,train,claude,0,0.9691
110,p2_0111,frustrated,train,claude,1,0.9999
111,p2_0112,neutral,train,claude,1,0.0011
112,p2_0113,distressed,train,claude,0,0.9988
113,p2_0114,frustrated,train,claude,1,0.9999
114,p2_0115,neutral,train,claude,1,0.0008
115,p2_0116,distressed,train,claude,1,0.9997
116,p2_0117,frustrated,train,claude,1,1.0000
117,p2_0118,neutral,train,claude,1,0.0002
118,p2_0119,distressed,train,claude,1,1.0000
119,p2_0120,frustrated,train,claude,1,0.9986
120,p2_0121,neutral,train,claude,1,0.0005
121,p2_0122,distressed,train,claude,1,0.9999
122,p2_0123,frustrated,train,claude,1,0.9995
123,p2_0124,neutral,train,claude,1,0.0003
124,p2_0125,distressed,train,claude,1,0.9992
125,p2_0126,frustrated,train,claude,1,0.9990
126,p2_0127,neutral,val,claude,1,0.0008
127,p2_0128,distressed,val,claude,1,1.0000
128,p2_0129,frustrated,val,claude,1,0.9992
129,p2_0130,neutral,train,claude,1,0.0033
130,p2_0131,distressed,train,claude,1,0.9997
131,p2_0132,frustrated,train,claude,1,0.9989
132,p2_0133,neutral,train,claude,1,0.0004
133,p2_0134,distressed,train,claude,1,0.9997
134,p2_0135,frustrated,train,claude,1,0.9967
135,p2_0136,neutral,train,claude,1,0.0002
136,p2_0137,distressed,train,claude,1,0.9983
137,p2_0138,frustrated,train,claude,1,0.9979
138,p2_0139,neutral,train,claude,1,0.0003
139,p2_0140,distressed,train,claude,1,0.9983
140,p2_0141,frustrated,train,claude,1,0.9996
141,p2_0142,neutral,train,claude,1,0.0005
142,p2_0143,distressed,train,claude,1,0.9839
143,p2_0144,frustrated,train,claude,1,0.9998
144,p2_0145,neutral,train,claude,1,0.0037
145,p2_0146,distressed,train,claude,1,0.9959
146,p2_0147,frustrated,train,claude,1,1.0000
